seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_806_X_MG_1518	66.3521512000014	274.641453827175	218.758760413551	73.0426506086928	170.222888930291	105.132839628112	68.9563951863155	219.182751391597	97.7659519354448	-0.0654563792521783	0.410567415511253	1.1563337930973
MG_806_X_MG_1519	66.7190020754819	268.930894570576	237.623236911944	73.0426506086928	170.222888930291	105.132839628112	70.3777014201859	212.551996118955	122.455848471287	-0.0696020316273167	0.405164785228669	1.08818143727919
MG_806_X_MG_1520	65.4350240113002	284.497146834824	248.306646815891	73.0426506086928	170.222888930291	105.132839628112	70.4665330598028	234.914543312965	112.596021127062	-0.0880719639175947	0.404447598236264	1.28087949346412
MG_806_X_MG_1521	68.5532564528844	266.488766596583	240.996270290981	73.0426506086928	170.222888930291	105.132839628112	70.2000381409521	228.655258923944	131.523926741626	-0.0428376198285466	0.336191355832147	1.0366733982536
MG_806_X_MG_1522	66.1687257622612	238.878332508978	240.211081701269	73.0426506086928	170.222888930291	105.132839628112	68.8675635466986	167.41828375895	117.839506937584	-0.0674564737136316	0.414983431116308	1.1546266647061
MG_806_X_MG_1523	65.0681731358197	252.574847056372	225.020318785959	73.0426506086928	170.222888930291	105.132839628112	71.5325127352055	181.394875755206	108.480901200425	-0.0998706606190271	0.436644404370675	1.10679629421946
MG_806_X_MG_1524	68.3698310151441	273.228321373872	227.95871964256	73.0426506086928	170.222888930291	105.132839628112	73.9309670048617	204.472504400188	98.7955549410896	-0.0696312423238773	0.458402351548989	1.23567414556587
MG_806_X_MG_1525	69.8372345170661	267.829430718947	239.698072822327	73.0426506086928	170.222888930291	105.132839628112	73.0426506086928	247.804582974629	87.5917294288253	-0.0438841699324261	0.281396313493313	1.48746772656176
MG_806_X_MG_1526	65.4350240113002	256.741776085342	231.683734113538	73.0426506086928	170.222888930291	105.132839628112	72.864987329459	173.640421059609	110.154108962596	-0.103062390208288	0.493278105726854	1.15232493776483
MG_806_X_MG_1527	66.1687257622612	273.84430218685	237.845540759485	73.0426506086928	170.222888930291	105.132839628112	69.3117217447831	215.096571671761	112.814122483174	-0.070366091770478	0.421388381261487	1.1826001927757
MG_806_X_MG_1528	65.9853003245209	255.645692579895	233.342462822114	73.0426506086928	170.222888930291	105.132839628112	68.3345737089972	187.932763306944	104.65054757271	-0.0665356369390197	0.427567544909555	1.2246038252661
MG_806_X_MG_1529	62.1333661319758	262.140666740267	212.605503915587	73.0426506086928	170.222888930291	105.132839628112	62.8270120527497	214.613659523054	91.6303081248277	-0.0853975064794477	0.362348081510492	1.16102970849541
MG_806_X_MG_1531	69.4703836415856	258.487613680811	221.430681658036	73.0426506086928	170.222888930291	105.132839628112	74.9044378944434	173.222458636903	77.7707970337195	-0.0608752852866995	0.505261990076827	1.42128243811179
MG_806_X_MG_1532	69.8372345170661	268.045870766358	213.936476951506	73.0426506086928	170.222888930291	105.132839628112	73.9309670048617	197.878896215908	62.9791971476041	-0.0496629850849446	0.456368219784092	1.54516548671557
MG_806_X_MG_1533	66.9024275132221	261.941378830186	258.575374542693	73.0426506086928	170.222888930291	105.132839628112	72.0655025729069	175.312040035905	135.535345646113	-0.07789567923871	0.516149927961766	1.14881226821122
MG_806_X_MG_1535	66.7190020754819	247.710410342119	228.198123786066	73.0426506086928	170.222888930291	105.132839628112	69.7558799428676	196.820204197587	118.944828149879	-0.0655505792982708	0.349762003317777	1.03677703404301
MG_806_X_MG_1536	66.3521512000014	251.39723667862	212.451601251904	73.0426506086928	170.222888930291	105.132839628112	66.6467725562762	190.146110652092	134.585575967045	-0.0500046503643801	0.395221214754621	0.772509639899323
MG_806_X_MG_1539	71.304638018988	270.25711980539	228.944836709858	73.0426506086928	170.222888930291	105.132839628112	78.1060540668558	224.94055008773	67.1930799524813	-0.0564968694631098	0.367824515734439	1.65711434782491
MG_806_X_MG_1541	72.2217652076893	314.199862156294	222.535075772423	73.0426506086928	170.222888930291	105.132839628112	81.2151614534472	255.837308775098	55.4889418184748	-0.0636225907496203	0.474908305673538	1.77092027953164
