seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1208_X_MG_1522	63.4559734562054	271.540400400078	240.180725042257	67.9311772533129	213.798349466829	94.276250105084	68.8675635466986	167.41828375895	117.839506937584	-0.0722725503888547	0.424598911660057	1.26461936058756
MG_1209_X_MG_1522	61.3868388420888	272.324041446643	257.347450264427	66.011571978243	217.272732141689	94.1256841282162	68.8675635466986	167.41828375895	117.839506937584	-0.0897504109412496	0.415806609411336	1.42820482901401
MG_1442_X_MG_1522	61.0685104399171	259.331629095064	224.430087659426	67.756667682852	207.015469762064	104.126456936552	68.8675635466986	167.41828375895	117.839506937584	-0.106036902966177	0.385193651247629	1.0222027174102
MG_1210_X_MG_1522	60.5910178366594	254.959268255704	221.370803553685	63.3939284213295	204.241493143675	91.4574516383018	68.8675635466986	167.41828375895	117.839506937584	-0.0837693279415567	0.372003558633698	1.11537525494831
MG_1211_X_MG_1522	62.5009882496901	266.037103050334	243.630101269778	70.0252920988437	208.784916641568	50.7643701351662	68.8675635466986	167.41828375895	117.839506937584	-0.100011473459887	0.414326633941989	1.88997033163899
MG_1450_X_MG_1522	60.5910178366594	253.258410984181	221.239882225142	66.011571978243	180.547493522817	72.0710725316104	68.8675635466986	167.41828375895	117.839506937584	-0.10155091666561	0.45565125951512	1.32993741416106
MG_1212_X_MG_1522	63.4559734562054	256.081299754195	211.903499315163	70.7233303806873	190.850835248262	122.99811786382	68.8675635466986	167.41828375895	117.839506937584	-0.0908293274600749	0.429547154182943	0.759720886550843
MG_1213_X_MG_1522	61.5460030431747	272.869028174482	217.60881925597	70.8127352714016	208.88387810752	53.4145934354594	68.8675635466986	167.41828375895	117.839506937584	-0.118759000890691	0.450265535659128	1.54135601754296
MG_1215_X_MG_1522	62.0234956464324	251.869229128906	220.382213929996	66.3605911191648	181.621142280432	80.2108354307505	68.8675635466986	167.41828375895	117.839506937584	-0.0826836940918572	0.4432136334105	1.22551712150165
MG_1216_X_MG_1522	61.3868388420888	245.52886066124	219.927997075868	67.9311772533129	186.316627619533	100.515537124384	68.8675635466986	167.41828375895	117.839506937584	-0.10252333489193	0.38820824726872	1.01440729725899
MG_1217_X_MG_1522	60.7501820377453	261.050296390372	227.681745962209	64.9645145554776	212.932057765405	111.037059641527	68.8675635466986	167.41828375895	117.839506937584	-0.0921431857112073	0.372683381033095	0.989559257771468
