seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1131_X_MG_1542	64.5308495354785	321.250839244112	227.951943686338	70.5488208102264	213.706190775188	118.307481322996	71.3548494559717	235.416029005854	143.374649106358	-0.0904978086271537	0.430572014008702	0.742204890431966
MG_1219_X_MG_1542	63.3974534335532	301.487827754663	231.618426590816	67.2331389714693	226.276636314998	94.4736959018655	71.3548494559717	235.416029005854	143.374649106358	-0.0850945431429578	0.3060109046573	0.947614363957907
MG_121_X_MG_1542	64.3891750227378	297.690039745062	218.455661178108	66.5351006896257	195.855052204359	104.086188392148	71.3548494559717	235.416029005854	143.374649106358	-0.066078783047647	0.380524003184716	0.76557764360938
MG_158_X_MG_1542	62.5474063571092	308.123877716236	226.775204837734	62.8703997099468	192.62949799693	85.1106086266832	71.3548494559717	235.416029005854	143.374649106358	-0.0680232408465399	0.439678063563701	0.985031394040265
MG_720_X_MG_1542	64.3891750227378	329.733372123304	238.848545424405	67.0586294010084	262.605592559814	107.589552202644	71.3548494559717	235.416029005854	143.374649106358	-0.0696112032662678	0.324172918784917	0.903447138504989
MG_1043_X_MG_1542	NA	NA	NA	65.8370624077821	240.533585911835	66.7481500092259	71.3548494559717	235.416029005854	143.374649106358	NA	NA	NA
MG_1054_X_MG_1542	63.5391279462938	310.147752005853	225.322940412422	67.0586294010084	211.148787082155	69.0967157412369	71.3548494559717	235.416029005854	143.374649106358	-0.0818939243345293	0.38903801120207	1.12097230677692
MG_540_X_MG_1542	63.9641514845158	326.459477116298	235.59290127268	66.5351006896257	245.35348548465	101.098521803749	71.3548494559717	235.416029005854	143.374649106358	-0.0722434605716177	0.358070623351665	0.927351785847353
MG_124_X_MG_1542	62.9724298953312	314.929255805626	220.303141170416	64.6154954145558	203.319906227267	96.0597571619047	71.3548494559717	235.416029005854	143.374649106358	-0.0737328796908728	0.435620976149534	0.840196190714446
MG_426_X_MG_1542	63.1141044080718	321.796452095034	218.373289458706	65.1390241259385	236.165263928059	100.973819198538	71.3548494559717	235.416029005854	143.374649106358	-0.0752097108564082	0.364754950702127	0.787392333364019
